가해자차량용도_대분류,가해자차량용도_중분류,가해자차량용도,월,사고건수,사망자수,중상자수,경상자수,부상신고자수
사업용,노선버스,시내버스,1 ,373 ,7 ,153 ,347 ,43 
사업용,노선버스,시내버스,2 ,330 ,2 ,150 ,351 ,42 
사업용,노선버스,시내버스,3 ,438 ,2 ,162 ,378 ,39 
사업용,노선버스,시내버스,4 ,463 ,7 ,139 ,464 ,61 
사업용,노선버스,시내버스,5 ,475 ,2 ,161 ,473 ,43 
사업용,노선버스,시내버스,6 ,455 ,5 ,177 ,422 ,58 
사업용,노선버스,시내버스,7 ,439 ,5 ,131 ,407 ,36 
사업용,노선버스,시내버스,8 ,489 ,1 ,159 ,494 ,74 
사업용,노선버스,시내버스,9 ,468 ,9 ,158 ,445 ,44 
사업용,노선버스,시내버스,10 ,521 ,3 ,184 ,525 ,40 
사업용,노선버스,시내버스,11 ,504 ,4 ,181 ,498 ,63 
사업용,노선버스,시내버스,12 ,506 ,9 ,189 ,481 ,56 
사업용,노선버스,시외버스,1 ,59 ,2 ,23 ,89 ,7 
사업용,노선버스,시외버스,2 ,48 ,0 ,16 ,52 ,4 
사업용,노선버스,시외버스,3 ,55 ,1 ,23 ,71 ,12 
사업용,노선버스,시외버스,4 ,57 ,1 ,25 ,62 ,5 
사업용,노선버스,시외버스,5 ,54 ,0 ,26 ,86 ,15 
사업용,노선버스,시외버스,6 ,56 ,1 ,19 ,80 ,8 
사업용,노선버스,시외버스,7 ,62 ,3 ,21 ,71 ,6 
사업용,노선버스,시외버스,8 ,74 ,1 ,26 ,156 ,25 
사업용,노선버스,시외버스,9 ,69 ,3 ,35 ,95 ,7 
사업용,노선버스,시외버스,10 ,78 ,2 ,30 ,125 ,20 
사업용,노선버스,시외버스,11 ,68 ,1 ,31 ,56 ,3 
사업용,노선버스,시외버스,12 ,67 ,3 ,28 ,141 ,11 
사업용,노선버스,고속버스,1 ,3 ,0 ,9 ,21 ,8 
사업용,노선버스,고속버스,2 ,9 ,0 ,1 ,16 ,0 
