"시도","시군구","레벨01","항목","단위","2019. 12 월",
"서울","계","승용","계","","2670803",
"서울","계","승합","계","","114310",
"서울","계","화물","계","","330840",
"서울","계","특수","계","","8204",
"서울","계","총계","계","","3124157",
"서울","강남구","승용","계","","213230",
"서울","강남구","승합","계","","5948",
"서울","강남구","화물","계","","15831",
"서울","강남구","특수","계","","406",
"서울","강남구","총계","계","","235415",
"서울","강동구","승용","계","","119220",
"서울","강동구","승합","계","","4618",
"서울","강동구","화물","계","","15421",
"서울","강동구","특수","계","","290",
"서울","강동구","총계","계","","139549",
"서울","강북구","승용","계","","63342",
"서울","강북구","승합","계","","3768",
"서울","강북구","화물","계","","9094",
"서울","강북구","특수","계","","160",
"서울","강북구","총계","계","","76364",
"서울","강서구","승용","계","","175694",
"서울","강서구","승합","계","","7348",
"서울","강서구","화물","계","","21208",
"서울","강서구","특수","계","","425",
"서울","강서구","총계","계","","204675",
"서울","관악구","승용","계","","102976",
"서울","관악구","승합","계","","4526",
"서울","관악구","화물","계","","12278",
"서울","관악구","특수","계","","270",
"서울","관악구","총계","계","","120050",
"서울","광진구","승용","계","","83181",
"서울","광진구","승합","계","","3382",
"서울","광진구","화물","계","","12463",
"서울","광진구","특수","계","","273",
"서울","광진구","총계","계","","99299",
"서울","구로구","승용","계","","120424",
"서울","구로구","승합","계","","6156",
"서울","구로구","화물","계","","17518",
"서울","구로구","특수","계","","367",
"서울","구로구","총계","계","","144465",
"서울","금천구","승용","계","","69930",
"서울","금천구","승합","계","","4169",
"서울","금천구","화물","계","","13325",
"서울","금천구","특수","계","","157",
"서울","금천구","총계","계","","87581",
"서울","노원구","승용","계","","133071",
"서울","노원구","승합","계","","5429",
"서울","노원구","화물","계","","13224",
"서울","노원구","특수","계","","347",
"서울","노원구","총계","계","","152071",
"서울","도봉구","승용","계","","81714",
"서울","도봉구","승합","계","","3685",
"서울","도봉구","화물","계","","10799",
"서울","도봉구","특수","계","","237",
"서울","도봉구","총계","계","","96435",
"서울","동대문구","승용","계","","81208",
"서울","동대문구","승합","계","","3647",
"서울","동대문구","화물","계","","12875",
"서울","동대문구","특수","계","","180",
"서울","동대문구","총계","계","","97910",
"서울","동작구","승용","계","","93256",
"서울","동작구","승합","계","","3164",
"서울","동작구","화물","계","","8678",
"서울","동작구","특수","계","","374",
"서울","동작구","총계","계","","105472",
"서울","마포구","승용","계","","101540",
"서울","마포구","승합","계","","4133",
"서울","마포구","화물","계","","11974",
"서울","마포구","특수","계","","260",
"서울","마포구","총계","계","","117907",
"서울","서대문구","승용","계","","75150",
"서울","서대문구","승합","계","","3249",
"서울","서대문구","화물","계","","8397",
